Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match_Report,Notes
18.0,Fri,2016-01-22,20:30 (21:30),Hamburger SV,1–2,Bayern Munich,57000.0,Volksparkstadion,Felix Zwayer,Match Report,
18.0,Sat,2016-01-23,15:30 (16:30),Hoffenheim,1–1,Leverkusen,24140.0,PreZero Arena,Marco Fritz,Match Report,
18.0,Sat,2016-01-23,15:30 (16:30),Ingolstadt 04,1–0,Mainz 05,13500.0,Audi-Sportpark,Florian Meyer,Match Report,
18.0,Sat,2016-01-23,15:30 (16:30),Köln,1–3,Stuttgart,50000.0,RheinEnergieSTADION,Manuel Gräfe,Match Report,
18.0,Sat,2016-01-23,15:30 (16:30),Hertha BSC,0–0,Augsburg,35196.0,Olympiastadion Berlin,Tobias Stieler,Match Report,
18.0,Sat,2016-01-23,15:30 (16:30),Hannover 96,1–2,Darmstadt 98,35600.0,HDI-Arena,Deniz Aytekin,Match Report,
18.0,Sat,2016-01-23,18:30 (19:30),Gladbach,1–3,Dortmund,54010.0,Stadion im Borussia-Park,Felix Brych,Match Report,
18.0,Sun,2016-01-24,15:30 (16:30),Eint Frankfurt,3–2,Wolfsburg,35000.0,Commerzbank-Arena,Knut Kircher,Match Report,
18.0,Sun,2016-01-24,17:30 (18:30),Schalke 04,1–3,Werder Bremen,62271.0,Veltins-Arena,Christian Dingert,Match Report,
,,,,,,,,,,,
19.0,Fri,2016-01-29,20:30 (21:30),Mainz 05,1–0,Gladbach,32015.0,Opel Arena,Benjamin Brand,Match Report,
19.0,Sat,2016-01-30,15:30 (16:30),Werder Bremen,3–3,Hertha BSC,40141.0,Weserstadion,Bastian Dankert,Match Report,
19.0,Sat,2016-01-30,15:30 (16:30),Augsburg,0–0,Eint Frankfurt,28653.0,WWK Arena,Sascha Stegemann,Match Report,
19.0,Sat,2016-01-30,15:30 (16:30),Dortmund,2–0,Ingolstadt 04,81359.0,Signal Iduna Park,Guido Winkmann,Match Report,
19.0,Sat,2016-01-30,15:30 (16:30),Darmstadt 98,0–2,Schalke 04,17000.0,Jonathan-Heimes-Stadion am Böllenfalltor,Daniel Siebert,Match Report,
19.0,Sat,2016-01-30,15:30 (16:30),Leverkusen,3–0,Hannover 96,28790.0,BayArena,Tobias Welz,Match Report,
19.0,Sat,2016-01-30,18:30 (19:30),Stuttgart,2–1,Hamburger SV,46600.0,Mercedes-Benz Arena,Günter Perl,Match Report,
19.0,Sun,2016-01-31,15:30 (16:30),Wolfsburg,1–1,Köln,29156.0,Volkswagen Arena,Wolfgang Stark,Match Report,
19.0,Sun,2016-01-31,17:30 (18:30),Bayern Munich,2–0,Hoffenheim,75000.0,Allianz Arena,Jochen Drees,Match Report,
,,,,,,,,,,,
20.0,Fri,2016-02-05,20:30 (21:30),Gladbach,5–1,Werder Bremen,51569.0,Stadion im Borussia-Park,Sascha Stegemann,Match Report,
20.0,Sat,2016-02-06,15:30 (16:30),Schalke 04,3–0,Wolfsburg,61483.0,Veltins-Arena,Tobias Welz,Match Report,
20.0,Sat,2016-02-06,15:30 (16:30),Ingolstadt 04,2–1,Augsburg,15356.0,Audi-Sportpark,Michael Weiner,Match Report,
20.0,Sat,2016-02-06,15:30 (16:30),Hannover 96,0–1,Mainz 05,35596.0,HDI-Arena,Robert Hartmann,Match Report,
20.0,Sat,2016-02-06,15:30 (16:30),Hertha BSC,0–0,Dortmund,74244.0,Olympiastadion Berlin,Marco Fritz,Match Report,
20.0,Sat,2016-02-06,15:30 (16:30),Eint Frankfurt,2–4,Stuttgart,42000.0,Commerzbank-Arena,Peter Sippel,Match Report,
20.0,Sat,2016-02-06,18:30 (19:30),Leverkusen,0–0,Bayern Munich,30210.0,BayArena,Knut Kircher,Match Report,
20.0,Sun,2016-02-07,15:30 (16:30),Hamburger SV,1–1,Köln,51999.0,Volksparkstadion,Felix Brych,Match Report,
20.0,Sun,2016-02-07,17:30 (18:30),Hoffenheim,0–2,Darmstadt 98,26231.0,PreZero Arena,Christian Dingert,Match Report,
,,,,,,,,,,,
21.0,Fri,2016-02-12,20:30 (21:30),Mainz 05,2–1,Schalke 04,32107.0,Opel Arena,Manuel Gräfe,Match Report,
21.0,Sat,2016-02-13,15:30 (16:30),Werder Bremen,1–1,Hoffenheim,38454.0,Weserstadion,Benjamin Brand,Match Report,
21.0,Sat,2016-02-13,15:30 (16:30),Stuttgart,2–0,Hertha BSC,45465.0,Mercedes-Benz Arena,Christian Dingert,Match Report,
21.0,Sat,2016-02-13,15:30 (16:30),Darmstadt 98,1–2,Leverkusen,16800.0,Jonathan-Heimes-Stadion am Böllenfalltor,Jochen Drees,Match Report,
21.0,Sat,2016-02-13,15:30 (16:30),Dortmund,1–0,Hannover 96,80900.0,Signal Iduna Park,Günter Perl,Match Report,
21.0,Sat,2016-02-13,15:30 (16:30),Wolfsburg,2–0,Ingolstadt 04,26884.0,Volkswagen Arena,Patrick Ittrich,Match Report,
21.0,Sat,2016-02-13,18:30 (19:30),Köln,3–1,Eint Frankfurt,49200.0,RheinEnergieSTADION,Felix Zwayer,Match Report,
21.0,Sun,2016-02-14,15:30 (16:30),Hamburger SV,3–2,Gladbach,56706.0,Volksparkstadion,Deniz Aytekin,Match Report,
21.0,Sun,2016-02-14,17:30 (18:30),Augsburg,1–3,Bayern Munich,30660.0,WWK Arena,Florian Meyer,Match Report,
,,,,,,,,,,,
22.0,Fri,2016-02-19,20:30 (21:30),Eint Frankfurt,0–0,Hamburger SV,47200.0,Commerzbank-Arena,Wolfgang Stark,Match Report,
22.0,Sat,2016-02-20,15:30 (16:30),Bayern Munich,3–1,Darmstadt 98,75000.0,Allianz Arena,Michael Weiner,Match Report,
22.0,Sat,2016-02-20,15:30 (16:30),Ingolstadt 04,2–0,Werder Bremen,15000.0,Audi-Sportpark,Tobias Welz,Match Report,
22.0,Sat,2016-02-20,15:30 (16:30),Hoffenheim,3–2,Mainz 05,24019.0,PreZero Arena,Günter Perl,Match Report,
22.0,Sat,2016-02-20,15:30 (16:30),Hertha BSC,1–1,Wolfsburg,40126.0,Olympiastadion Berlin,Sascha Stegemann,Match Report,
22.0,Sat,2016-02-20,15:30 (16:30),Gladbach,1–0,Köln,52226.0,Stadion im Borussia-Park,Knut Kircher,Match Report,
22.0,Sun,2016-02-21,15:30 (16:30),Leverkusen,0–1,Dortmund,30210.0,BayArena,Felix Zwayer,Match Report,
22.0,Sun,2016-02-21,17:30 (18:30),Schalke 04,1–1,Stuttgart,61262.0,Veltins-Arena,Bastian Dankert,Match Report,
22.0,Sun,2016-02-21,17:30 (18:30),Hannover 96,0–1,Augsburg,32400.0,HDI-Arena,Daniel Siebert,Match Report,
,,,,,,,,,,,
23.0,Fri,2016-02-26,20:30 (21:30),Köln,0–1,Hertha BSC,48900.0,RheinEnergieSTADION,Tobias Stieler,Match Report,
23.0,Sat,2016-02-27,15:30 (16:30),Wolfsburg,0–2,Bayern Munich,30000.0,Volkswagen Arena,Manuel Gräfe,Match Report,
23.0,Sat,2016-02-27,15:30 (16:30),Werder Bremen,2–2,Darmstadt 98,40396.0,Weserstadion,Robert Hartmann,Match Report,
23.0,Sat,2016-02-27,15:30 (16:30),Stuttgart,1–2,Hannover 96,54356.0,Mercedes-Benz Arena,Sascha Stegemann,Match Report,
23.0,Sat,2016-02-27,15:30 (16:30),Hamburger SV,1–1,Ingolstadt 04,50675.0,Volksparkstadion,Marco Fritz,Match Report,
23.0,Sun,2016-02-28,15:30 (16:30),Augsburg,2–2,Gladbach,29665.0,WWK Arena,Knut Kircher,Match Report,
23.0,Sun,2016-02-28,17:30 (18:30),Mainz 05,3–1,Leverkusen,26557.0,Opel Arena,Deniz Aytekin,Match Report,
23.0,Sun,2016-02-28,17:30 (18:30),Dortmund,3–1,Hoffenheim,81359.0,Signal Iduna Park,Peter Sippel,Match Report,
23.0,Sun,2016-02-28,19:30 (20:30),Eint Frankfurt,0–0,Schalke 04,43500.0,Commerzbank-Arena,Felix Brych,Match Report,
,,,,,,,,,,,
24.0,Tue,2016-03-01,20:00 (21:00),Ingolstadt 04,1–1,Köln,14503.0,Audi-Sportpark,Florian Meyer,Match Report,
24.0,Tue,2016-03-01,20:00 (21:00),Hannover 96,0–4,Wolfsburg,34500.0,HDI-Arena,Bastian Dankert,Match Report,
24.0,Wed,2016-03-02,20:00 (21:00),Bayern Munich,1–2,Mainz 05,75000.0,Allianz Arena,Sascha Stegemann,Match Report,
24.0,Wed,2016-03-02,20:00 (21:00),Hoffenheim,2–1,Augsburg,21092.0,PreZero Arena,Guido Winkmann,Match Report,
24.0,Wed,2016-03-02,20:00 (21:00),Schalke 04,3–2,Hamburger SV,60856.0,Veltins-Arena,Günter Perl,Match Report,
24.0,Wed,2016-03-02,20:00 (21:00),Leverkusen,1–4,Werder Bremen,25506.0,BayArena,Marco Fritz,Match Report,
24.0,Wed,2016-03-02,20:00 (21:00),Hertha BSC,2–0,Eint Frankfurt,36608.0,Olympiastadion Berlin,Knut Kircher,Match Report,
24.0,Wed,2016-03-02,20:00 (21:00),Gladbach,4–0,Stuttgart,43627.0,Stadion im Borussia-Park,Tobias Welz,Match Report,
24.0,Wed,2016-03-02,20:00 (21:00),Darmstadt 98,0–2,Dortmund,17000.0,Jonathan-Heimes-Stadion am Böllenfalltor,Manuel Gräfe,Match Report,
,,,,,,,,,,,
25.0,Sat,2016-03-05,15:30 (16:30),Wolfsburg,2–1,Gladbach,29224.0,Volkswagen Arena,Daniel Siebert,Match Report,
25.0,Sat,2016-03-05,15:30 (16:30),Augsburg,3–3,Leverkusen,27610.0,WWK Arena,Markus Schmidt,Match Report,
25.0,Sat,2016-03-05,15:30 (16:30),Eint Frankfurt,1–1,Ingolstadt 04,40000.0,Commerzbank-Arena,Sascha Stegemann,Match Report,
25.0,Sat,2016-03-05,15:30 (16:30),Köln,1–3,Schalke 04,49300.0,RheinEnergieSTADION,Wolfgang Stark,Match Report,
25.0,Sat,2016-03-05,15:30 (16:30),Werder Bremen,4–1,Hannover 96,42100.0,Weserstadion,Felix Zwayer,Match Report,
25.0,Sat,2016-03-05,15:30 (16:30),Stuttgart,5–1,Hoffenheim,44647.0,Mercedes-Benz Arena,Christian Dingert,Match Report,
25.0,Sat,2016-03-05,18:30 (19:30),Dortmund,0–0,Bayern Munich,81359.0,Signal Iduna Park,Tobias Stieler,Match Report,
25.0,Sun,2016-03-06,15:30 (16:30),Mainz 05,0–0,Darmstadt 98,34000.0,Opel Arena,Benjamin Brand,Match Report,
25.0,Sun,2016-03-06,17:30 (18:30),Hamburger SV,2–0,Hertha BSC,46136.0,Volksparkstadion,Felix Brych,Match Report,
,,,,,,,,,,,
26.0,Fri,2016-03-11,20:30 (21:30),Hertha BSC,2–0,Schalke 04,51424.0,Olympiastadion Berlin,Tobias Welz,Match Report,
26.0,Sat,2016-03-12,15:30 (16:30),Hannover 96,0–2,Köln,40600.0,HDI-Arena,Peter Sippel,Match Report,
26.0,Sat,2016-03-12,15:30 (16:30),Gladbach,3–0,Eint Frankfurt,54010.0,Stadion im Borussia-Park,Michael Weiner,Match Report,
26.0,Sat,2016-03-12,15:30 (16:30),Darmstadt 98,2–2,Augsburg,16000.0,Jonathan-Heimes-Stadion am Böllenfalltor,Bastian Dankert,Match Report,
26.0,Sat,2016-03-12,15:30 (16:30),Ingolstadt 04,3–3,Stuttgart,15107.0,Audi-Sportpark,Manuel Gräfe,Match Report,
26.0,Sat,2016-03-12,15:30 (16:30),Hoffenheim,1–0,Wolfsburg,25231.0,PreZero Arena,Robert Hartmann,Match Report,
26.0,Sat,2016-03-12,18:30 (19:30),Bayern Munich,5–0,Werder Bremen,75000.0,Allianz Arena,Guido Winkmann,Match Report,
26.0,Sun,2016-03-13,15:30 (16:30),Leverkusen,1–0,Hamburger SV,30210.0,BayArena,Christian Dingert,Match Report,
26.0,Sun,2016-03-13,17:30 (18:30),Dortmund,2–0,Mainz 05,81000.0,Signal Iduna Park,Deniz Aytekin,Match Report,
,,,,,,,,,,,
27.0,Fri,2016-03-18,20:30 (21:30),Schalke 04,2–1,Gladbach,62271.0,Veltins-Arena,Marco Fritz,Match Report,
27.0,Sat,2016-03-19,15:30 (16:30),Hamburger SV,1–3,Hoffenheim,48263.0,Volksparkstadion,Knut Kircher,Match Report,
27.0,Sat,2016-03-19,15:30 (16:30),Wolfsburg,1–1,Darmstadt 98,26422.0,Volkswagen Arena,Markus Schmidt,Match Report,
27.0,Sat,2016-03-19,15:30 (16:30),Werder Bremen,1–1,Mainz 05,38416.0,Weserstadion,Manuel Gräfe,Match Report,
27.0,Sat,2016-03-19,15:30 (16:30),Hertha BSC,2–1,Ingolstadt 04,40385.0,Olympiastadion Berlin,Patrick Ittrich,Match Report,
27.0,Sat,2016-03-19,15:30 (16:30),Köln,0–1,Bayern Munich,49600.0,RheinEnergieSTADION,Tobias Welz,Match Report,
27.0,Sat,2016-03-19,18:30 (19:30),Eint Frankfurt,1–0,Hannover 96,43300.0,Commerzbank-Arena,Wolfgang Stark,Match Report,
27.0,Sun,2016-03-20,15:30 (16:30),Stuttgart,0–2,Leverkusen,54522.0,Mercedes-Benz Arena,Daniel Siebert,Match Report,
27.0,Sun,2016-03-20,17:30 (18:30),Augsburg,1–3,Dortmund,30660.0,WWK Arena,Christian Dingert,Match Report,
,,,,,,,,,,,
28.0,Fri,2016-04-01,20:30,Leverkusen,3–0,Wolfsburg,29239.0,BayArena,Felix Brych,Match Report,
28.0,Sat,2016-04-02,15:30,Darmstadt 98,2–2,Stuttgart,17000.0,Jonathan-Heimes-Stadion am Böllenfalltor,Felix Zwayer,Match Report,
28.0,Sat,2016-04-02,15:30,Mainz 05,4–2,Augsburg,31780.0,Opel Arena,Patrick Ittrich,Match Report,
28.0,Sat,2016-04-02,15:30,Bayern Munich,1–0,Eint Frankfurt,75000.0,Allianz Arena,Florian Meyer,Match Report,
28.0,Sat,2016-04-02,15:30,Ingolstadt 04,3–0,Schalke 04,15200.0,Audi-Sportpark,Daniel Siebert,Match Report,
28.0,Sat,2016-04-02,15:30,Hannover 96,0–3,Hamburger SV,49000.0,HDI-Arena,Robert Hartmann,Match Report,
28.0,Sat,2016-04-02,18:30,Dortmund,3–2,Werder Bremen,81359.0,Signal Iduna Park,Tobias Welz,Match Report,
28.0,Sun,2016-04-03,15:30,Gladbach,5–0,Hertha BSC,53114.0,Stadion im Borussia-Park,Sascha Stegemann,Match Report,
28.0,Sun,2016-04-03,17:30,Hoffenheim,1–1,Köln,30150.0,PreZero Arena,Deniz Aytekin,Match Report,
,,,,,,,,,,,
29.0,Fri,2016-04-08,20:30,Hertha BSC,2–2,Hannover 96,45229.0,Olympiastadion Berlin,Benjamin Brand,Match Report,
29.0,Sat,2016-04-09,15:30,Eint Frankfurt,0–2,Hoffenheim,51000.0,Commerzbank-Arena,Felix Brych,Match Report,
29.0,Sat,2016-04-09,15:30,Hamburger SV,1–2,Darmstadt 98,57000.0,Volksparkstadion,Peter Sippel,Match Report,
29.0,Sat,2016-04-09,15:30,Ingolstadt 04,1–0,Gladbach,15200.0,Audi-Sportpark,Tobias Welz,Match Report,
29.0,Sat,2016-04-09,15:30,Werder Bremen,1–2,Augsburg,41000.0,Weserstadion,Daniel Siebert,Match Report,
29.0,Sat,2016-04-09,15:30,Stuttgart,1–3,Bayern Munich,60000.0,Mercedes-Benz Arena,Bastian Dankert,Match Report,
29.0,Sat,2016-04-09,18:30,Wolfsburg,1–1,Mainz 05,27844.0,Volkswagen Arena,Günter Perl,Match Report,
29.0,Sun,2016-04-10,15:30,Schalke 04,2–2,Dortmund,61670.0,Veltins-Arena,Felix Zwayer,Match Report,
29.0,Sun,2016-04-10,17:30,Köln,0–2,Leverkusen,50000.0,RheinEnergieSTADION,Manuel Gräfe,Match Report,
,,,,,,,,,,,
30.0,Fri,2016-04-15,20:30,Hannover 96,2–0,Gladbach,46196.0,HDI-Arena,Markus Schmidt,Match Report,
30.0,Sat,2016-04-16,15:30,Augsburg,1–0,Stuttgart,30660.0,WWK Arena,Tobias Stieler,Match Report,
30.0,Sat,2016-04-16,15:30,Darmstadt 98,2–0,Ingolstadt 04,15600.0,Jonathan-Heimes-Stadion am Böllenfalltor,Michael Weiner,Match Report,
30.0,Sat,2016-04-16,15:30,Werder Bremen,3–2,Wolfsburg,40557.0,Weserstadion,Wolfgang Stark,Match Report,
30.0,Sat,2016-04-16,15:30,Leverkusen,3–0,Eint Frankfurt,30210.0,BayArena,Deniz Aytekin,Match Report,
30.0,Sat,2016-04-16,15:30,Hoffenheim,2–1,Hertha BSC,27745.0,PreZero Arena,Guido Winkmann,Match Report,
30.0,Sat,2016-04-16,18:30,Bayern Munich,3–0,Schalke 04,75000.0,Allianz Arena,Tobias Welz,Match Report,
30.0,Sun,2016-04-17,15:30,Dortmund,3–0,Hamburger SV,81359.0,Signal Iduna Park,Marco Fritz,Match Report,
30.0,Sun,2016-04-17,17:30,Mainz 05,2–3,Köln,33275.0,Opel Arena,Peter Sippel,Match Report,
,,,,,,,,,,,
31.0,Fri,2016-04-22,20:30,Hamburger SV,2–1,Werder Bremen,57000.0,Volksparkstadion,Manuel Gräfe,Match Report,
31.0,Sat,2016-04-23,15:30,Hertha BSC,0–2,Bayern Munich,76233.0,Olympiastadion Berlin,Marco Fritz,Match Report,
31.0,Sat,2016-04-23,15:30,Stuttgart,0–3,Dortmund,60000.0,Mercedes-Benz Arena,Daniel Siebert,Match Report,
31.0,Sat,2016-04-23,15:30,Ingolstadt 04,2–2,Hannover 96,14831.0,Audi-Sportpark,Sascha Stegemann,Match Report,
31.0,Sat,2016-04-23,15:30,Wolfsburg,0–2,Augsburg,27261.0,Volkswagen Arena,Knut Kircher,Match Report,
31.0,Sat,2016-04-23,15:30,Köln,4–1,Darmstadt 98,50000.0,RheinEnergieSTADION,Christian Dingert,Match Report,
31.0,Sat,2016-04-23,18:30,Schalke 04,2–3,Leverkusen,62271.0,Veltins-Arena,Wolfgang Stark,Match Report,
31.0,Sun,2016-04-24,15:30,Gladbach,3–1,Hoffenheim,53144.0,Stadion im Borussia-Park,Robert Hartmann,Match Report,
31.0,Sun,2016-04-24,17:30,Eint Frankfurt,2–1,Mainz 05,50300.0,Commerzbank-Arena,Felix Zwayer,Match Report,
,,,,,,,,,,,
32.0,Fri,2016-04-29,20:30,Augsburg,0–0,Köln,30144.0,WWK Arena,Tobias Welz,Match Report,
32.0,Sat,2016-04-30,15:30,Dortmund,5–1,Wolfsburg,81359.0,Signal Iduna Park,Robert Hartmann,Match Report,
32.0,Sat,2016-04-30,15:30,Mainz 05,0–0,Hamburger SV,34000.0,Opel Arena,Guido Winkmann,Match Report,
32.0,Sat,2016-04-30,15:30,Hannover 96,1–3,Schalke 04,46900.0,HDI-Arena,Günter Perl,Match Report,
32.0,Sat,2016-04-30,15:30,Bayern Munich,1–1,Gladbach,75000.0,Allianz Arena,Daniel Siebert,Match Report,
32.0,Sat,2016-04-30,15:30,Darmstadt 98,1–2,Eint Frankfurt,14800.0,Jonathan-Heimes-Stadion am Böllenfalltor,Manuel Gräfe,Match Report,
32.0,Sat,2016-04-30,15:30,Hoffenheim,2–1,Ingolstadt 04,26561.0,PreZero Arena,Bastian Dankert,Match Report,
32.0,Sat,2016-04-30,18:30,Leverkusen,2–1,Hertha BSC,30210.0,BayArena,Tobias Stieler,Match Report,
32.0,Mon,2016-05-02,20:15,Werder Bremen,6–2,Stuttgart,41000.0,Weserstadion,Felix Brych,Match Report,
,,,,,,,,,,,
33.0,Sat,2016-05-07,15:30,Köln,0–0,Werder Bremen,50000.0,RheinEnergieSTADION,Felix Zwayer,Match Report,
33.0,Sat,2016-05-07,15:30,Stuttgart,1–3,Mainz 05,60000.0,Mercedes-Benz Arena,Deniz Aytekin,Match Report,
33.0,Sat,2016-05-07,15:30,Hamburger SV,0–1,Wolfsburg,57000.0,Volksparkstadion,Benjamin Brand,Match Report,
33.0,Sat,2016-05-07,15:30,Ingolstadt 04,1–2,Bayern Munich,15617.0,Audi-Sportpark,Florian Meyer,Match Report,
33.0,Sat,2016-05-07,15:30,Gladbach,2–1,Leverkusen,54010.0,Stadion im Borussia-Park,Bastian Dankert,Match Report,
33.0,Sat,2016-05-07,15:30,Eint Frankfurt,1–0,Dortmund,51500.0,Commerzbank-Arena,Daniel Siebert,Match Report,
33.0,Sat,2016-05-07,15:30,Hertha BSC,1–2,Darmstadt 98,60280.0,Olympiastadion Berlin,Felix Brych,Match Report,
33.0,Sat,2016-05-07,15:30,Schalke 04,1–1,Augsburg,62271.0,Veltins-Arena,Christian Dingert,Match Report,
33.0,Sat,2016-05-07,15:30,Hannover 96,1–0,Hoffenheim,38096.0,HDI-Arena,Wolfgang Stark,Match Report,
,,,,,,,,,,,
34.0,Sat,2016-05-14,15:30,Wolfsburg,3–1,Stuttgart,30000.0,Volkswagen Arena,Manuel Gräfe,Match Report,
34.0,Sat,2016-05-14,15:30,Darmstadt 98,0–2,Gladbach,17000.0,Jonathan-Heimes-Stadion am Böllenfalltor,Peter Sippel,Match Report,
34.0,Sat,2016-05-14,15:30,Dortmund,2–2,Köln,81359.0,Signal Iduna Park,Michael Weiner,Match Report,
34.0,Sat,2016-05-14,15:30,Hoffenheim,1–4,Schalke 04,30150.0,PreZero Arena,Felix Brych,Match Report,
34.0,Sat,2016-05-14,15:30,Leverkusen,3–2,Ingolstadt 04,29220.0,BayArena,Guido Winkmann,Match Report,
34.0,Sat,2016-05-14,15:30,Werder Bremen,1–0,Eint Frankfurt,42100.0,Weserstadion,Deniz Aytekin,Match Report,
34.0,Sat,2016-05-14,15:30,Bayern Munich,3–1,Hannover 96,75000.0,Allianz Arena,Knut Kircher,Match Report,
34.0,Sat,2016-05-14,15:30,Augsburg,1–3,Hamburger SV,30660.0,WWK Arena,Florian Meyer,Match Report,
34.0,Sat,2016-05-14,15:30,Mainz 05,0–0,Hertha BSC,33800.0,Opel Arena,Sascha Stegemann,Match Report,
