Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att_GK,Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal_Kicks_Att,Goal_Kicks_Launch%,Goal_Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Matches
1,Antonio Adán,es ESP,GK,Betis,es La Liga,29,1987,37.0,62,4,,,,,,,,,,,,,,,,,,,,,,,,Matches
2,René Adler,de GER,GK,Hamburger SV,de Bundesliga,31,1985,19.0,38,3,,,,,,,,,,,,,,,,,,,,,,,,Matches
3,Adrián,es ESP,GK,West Ham,eng Premier League,29,1987,16.0,25,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
4,Ryan Allsop,eng ENG,GK,Bournemouth,eng Premier League,24,1992,1.0,1,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
5,Sergio Álvarez,es ESP,GK,Celta Vigo,es La Liga,29,1986,26.0,51,4,,,,,,,,,,,,,,,,,,,,,,,,Matches
6,Diego Alves,br BRA,GK,Valencia,es La Liga,31,1985,33.0,56,5,,,,,,,,,,,,,,,,,,,,,,,,Matches
7,Jon Ander Serantes,es ESP,GK,Leganés,es La Liga,26,1989,12.3,22,3,,,,,,,,,,,,,,,,,,,,,,,,Matches
8,Miguel Ángel Moyá,es ESP,GK,Atlético Madrid,es La Liga,32,1984,8.6,6,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
9,Markel Areitio,es ESP,GK,Eibar,es La Liga,19,1996,0.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
10,Alphonse Areola,fr FRA,GK,Paris S-G,fr Ligue 1,23,1993,14.4,14,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
11,Kepa Arrizabalaga,es ESP,GK,Athletic Club,es La Liga,21,1994,22.4,22,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
12,Sergio Asenjo,es ESP,GK,Villarreal,es La Liga,27,1989,23.4,15,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
13,Emil Audero,id IDN,GK,Juventus,it Serie A,19,1997,1.0,1,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
14,Loic Badiashile,fr FRA,GK,Monaco,fr Ligue 1,18,1998,0.5,0,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
15,Diego Barrios,es ESP,GK,Leganés,es La Liga,22,1994,0.7,1,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
16,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,26,1990,34.0,37,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
17,Asmir Begović,ba BIH,GK,Chelsea,eng Premier League,29,1987,2.0,5,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
18,Diego Benaglio,ch SUI,GK,Wolfsburg,de Bundesliga,32,1983,14.0,22,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
19,Walter Benítez,ar ARG,GK,Nice,fr Ligue 1,23,1993,2.4,1,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
20,Etrit Berisha,al ALB,GK,Atalanta,it Serie A,27,1989,26.0,26,3,,,,,,,,,,,,,,,,,,,,,,,,Matches
21,Albano Bizzarri,ar ARG,GK,Pescara,it Serie A,38,1977,29.0,68,5,,,,,,,,,,,,,,,,,,,,,,,,Matches
22,Rubén Blanco,es ESP,GK,Celta Vigo,es La Liga,21,1995,11.0,15,5,,,,,,,,,,,,,,,,,,,,,,,,Matches
23,Artur Boruc,pl POL,GK,Bournemouth,eng Premier League,36,1980,35.0,63,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
24,Denys Boyko,ua UKR,GK,Málaga,es La Liga,28,1988,3.0,7,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
25,Claudio Bravo,cl CHI,GK,Manchester City,eng Premier League,33,1983,21.9,26,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
26,Claudio Bravo,cl CHI,GK,Barcelona,es La Liga,33,1983,1.0,2,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
27,Alberto Brignoli,it ITA,GK,Leganés,es La Liga,24,1991,0.7,3,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
28,Gianluigi Buffon,it ITA,GK,Juventus,it Serie A,38,1978,29.5,24,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
29,Roman Bürki,ch SUI,GK,Dortmund,de Bundesliga,25,1990,27.0,29,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
30,Jack Butland,eng ENG,GK,Stoke City,eng Premier League,23,1993,5.0,8,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
31,Willy Caballero,ar ARG,GK,Manchester City,eng Premier League,34,1981,16.1,13,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
32,Rafael Cabral,br BRA,GK,Napoli,it Serie A,26,1990,1.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
33,Yoan Cardinale,fr FRA,GK,Nice,fr Ligue 1,22,1994,35.6,35,4,,,,,,,,,,,,,,,,,,,,,,,,Matches
34,Cédric Carrasso,fr FRA,GK,Bordeaux,fr Ligue 1,34,1981,24.0,22,3,,,,,,,,,,,,,,,,,,,,,,,,Matches
35,Kiko Casilla,es ESP,GK,Real Madrid,es La Liga,29,1986,11.0,10,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
36,Koen Casteels,be BEL,GK,Wolfsburg,de Bundesliga,24,1992,20.0,30,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
37,Joel Castro Pereira,pt POR,GK,Manchester Utd,eng Premier League,20,1996,1.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
38,Petr Čech,cz CZE,GK,Arsenal,eng Premier League,34,1982,34.4,37,9,,,,,,,,,,,,,,,,,,,,,,,,Matches
39,Nereo Champagne,ar ARG,GK,Leganés,es La Liga,31,1985,4.0,4,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
40,Paul Charruau,fr FRA,GK,Bastia,fr Ligue 1,23,1993,0.5,1,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
41,Sergei Chernik,by BLR,GK,Nancy,fr Ligue 1,28,1988,15.3,21,3,,,,,,,,,,,,,,,,,,,,,,,,Matches
42,Jasper Cillessen,nl NED,GK,Barcelona,es La Liga,27,1989,1.0,2,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
43,Fabio Coltorti,ch SUI,GK,RB Leipzig,de Bundesliga,35,1980,1.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
44,Andrea Consigli,it ITA,GK,Sassuolo,it Serie A,29,1987,37.0,56,5,,,,,,,,,,,,,,,,,,,,,,,,Matches
45,Alex Cordaz,it ITA,GK,Crotone,it Serie A,33,1983,36.0,54,6,,,,,,,,,,,,,,,,,,,,,,,,Matches
46,Angelo da Costa Júnior,br BRA,GK,Bologna,it Serie A,32,1983,17.1,26,3,,,,,,,,,,,,,,,,,,,,,,,,Matches
47,Benoît Costil,fr FRA,GK,Rennes,fr Ligue 1,29,1987,38.0,42,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
48,Thibaut Courtois,be BEL,GK,Chelsea,eng Premier League,24,1992,36.0,28,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
49,Luca Crosta,it ITA,GK,Cagliari,it Serie A,18,1998,1.0,1,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
50,Iván Cuéllar,es ESP,GK,Sporting Gijón,es La Liga,32,1984,36.0,69,6,,,,,,,,,,,,,,,,,,,,,,,,Matches
51,Morgan De Sanctis,it ITA,GK,Monaco,fr Ligue 1,39,1977,1.0,1,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
52,Paul Delecroix,fr FRA,GK,Lorient,fr Ligue 1,27,1988,7.0,18,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
53,Thomas Didillon,fr FRA,GK,Metz,fr Ligue 1,20,1995,32.0,64,5,,,,,,,,,,,,,,,,,,,,,,,,Matches
54,Jaume Doménech,es ESP,GK,Valencia,es La Liga,25,1990,3.0,4,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
55,Gianluigi Donnarumma,it ITA,GK,Milan,it Serie A,17,1999,38.0,45,5,,,,,,,,,,,,,,,,,,,,,,,,Matches
56,Bartłomiej Drągowski,pl POL,GK,Fiorentina,it Serie A,18,1997,1.0,2,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
57,Matthieu Dreyer,fr FRA,GK,Caen,fr Ligue 1,27,1989,2.0,2,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
58,Jaroslav Drobný,cz CZE,GK,Werder Bremen,de Bundesliga,36,1979,9.4,15,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
59,Maxime Dupé,fr FRA,GK,Nantes,fr Ligue 1,23,1993,16.0,20,3,,,,,,,,,,,,,,,,,,,,,,,,Matches
60,Vincent Enyeama,ng NGA,GK,Lille,fr Ligue 1,33,1982,31.7,40,4,,,,,,,,,,,,,,,,,,,,,,,,Matches
61,Michael Esser,de GER,GK,Darmstadt 98,de Bundesliga,28,1987,27.6,50,5,,,,,,,,,,,,,,,,,,,,,,,,Matches
62,Łukasz Fabiański,pl POL,GK,Swansea City,eng Premier League,31,1985,37.0,69,6,,,,,,,,,,,,,,,,,,,,,,,,Matches
63,Ralf Fährmann,de GER,GK,Schalke 04,de Bundesliga,27,1988,34.0,40,6,,,,,,,,,,,,,,,,,,,,,,,,Matches
64,Adam Federici,au AUS,GK,Bournemouth,eng Premier League,31,1985,2.0,3,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
65,Álvaro Fernández,es ESP,GK,Osasuna,es La Liga,18,1998,0.5,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
66,Andrés Fernández,es ESP,GK,Villarreal,es La Liga,29,1986,14.6,18,4,,,,,,,,,,,,,,,,,,,,,,,,Matches
67,Mario Fernández,es ESP,GK,Osasuna,es La Liga,28,1988,6.5,14,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
68,Marco Festa,it ITA,GK,Crotone,it Serie A,24,1992,2.0,4,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
69,Vincenzo Fiorillo,it ITA,GK,Pescara,it Serie A,26,1990,9.0,15,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
70,Fraser Forster,eng ENG,GK,Southampton,eng Premier League,28,1988,38.0,48,6,,,,,,,,,,,,,,,,,,,,,,,,Matches
71,Ben Foster,eng ENG,GK,West Brom,eng Premier League,33,1983,38.0,51,3,,,,,,,,,,,,,,,,,,,,,,,,Matches
72,Andrea Fulignati,it ITA,"FW,GK",Palermo,it Serie A,21,1994,9.0,14,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
73,Gabriel,br BRA,GK,Cagliari,it Serie A,23,1992,3.0,5,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
74,David de Gea,es ESP,GK,Manchester Utd,eng Premier League,25,1990,35.0,29,4,,,,,,,,,,,,,,,,,,,,,,,,Matches
75,Dani Giménez,es ESP,GK,Betis,es La Liga,33,1983,1.0,2,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
76,Shay Given,ie IRL,GK,Stoke City,eng Premier League,40,1976,5.0,14,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
77,Mauro Goicoechea,uy URU,GK,Toulouse,fr Ligue 1,28,1988,2.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
78,Pierluigi Gollini,it ITA,GK,Atalanta,it Serie A,21,1995,4.0,1,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
79,Heurelho Gomes,br BRA,GK,Watford,eng Premier League,35,1981,37.1,64,3,,,,,,,,,,,,,,,,,,,,,,,,Matches
80,Mathieu Gorgelin,fr FRA,GK,Lyon,fr Ligue 1,25,1990,1.0,2,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
81,Lee Grant,eng ENG,GK,Stoke City,eng Premier League,33,1983,28.0,34,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
82,Théo Guivarch,fr FRA,GK,Guingamp,fr Ligue 1,20,1995,0.6,2,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
83,Péter Gulácsi,hu HUN,GK,RB Leipzig,de Bundesliga,26,1990,33.0,39,3,,,,,,,,,,,,,,,,,,,,,,,,Matches
84,Brad Guzan,us USA,GK,Middlesbrough,eng Premier League,31,1984,10.0,17,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
85,Samir Handanović,si SVN,GK,Inter,it Serie A,32,1984,37.0,47,5,,,,,,,,,,,,,,,,,,,,,,,,Matches
86,Martin Hansen,dk DEN,GK,Ingolstadt 04,de Bundesliga,26,1990,22.6,34,5,,,,,,,,,,,,,,,,,,,,,,,,Matches
87,Joe Hart,eng ENG,GK,Torino,it Serie A,29,1987,36.0,62,6,,,,,,,,,,,,,,,,,,,,,,,,Matches
88,Tom Heaton,eng ENG,GK,Burnley,eng Premier League,30,1986,35.0,48,4,,,,,,,,,,,,,,,,,,,,,,,,Matches
89,Wayne Hennessey,wls WAL,GK,Crystal Palace,eng Premier League,29,1987,29.0,46,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
90,Iago Herrerín,es ESP,GK,Leganés,es La Liga,28,1988,20.3,25,3,,,,,,,,,,,,,,,,,,,,,,,,Matches
91,Daniel Heuer Fernandes,pt POR,GK,Darmstadt 98,de Bundesliga,23,1992,6.4,13,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
92,Marwin Hitz,ch SUI,GK,Augsburg,de Bundesliga,28,1987,32.0,50,4,,,,,,,,,,,,,,,,,,,,,,,,Matches
93,Timo Horn,de GER,GK,Köln,de Bundesliga,23,1993,20.0,24,3,,,,,,,,,,,,,,,,,,,,,,,,Matches
94,Lukáš Hrádecký,fi FIN,GK,Eint Frankfurt,de Bundesliga,26,1989,32.0,40,3,,,,,,,,,,,,,,,,,,,,,,,,Matches
95,Jannik Huth,de GER,GK,Mainz 05,de Bundesliga,22,1994,7.0,9,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
96,Gorka Iraizoz,es ESP,GK,Athletic Club,es La Liga,35,1981,15.6,21,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
97,Eldin Jakupović,ch SUI,GK,Hull City,eng Premier League,31,1984,22.0,36,4,,,,,,,,,,,,,,,,,,,,,,,,Matches
98,Rune Jarstein,no NOR,GK,Hertha BSC,de Bundesliga,31,1984,34.0,47,4,,,,,,,,,,,,,,,,,,,,,,,,Matches
99,Karl-Johan Johnsson,se SWE,GK,Guingamp,fr Ligue 1,26,1990,36.4,51,6,,,,,,,,,,,,,,,,,,,,,,,,Matches
100,Geoffrey Jourdren,fr FRA,GK,Montpellier,fr Ligue 1,30,1986,13.0,28,3,,,,,,,,,,,,,,,,,,,,,,,,Matches
101,Carlos Kameni,cm CMR,GK,Málaga,es La Liga,32,1984,35.0,48,6,,,,,,,,,,,,,,,,,,,,,,,,Matches
102,Loris Karius,de GER,GK,Liverpool,eng Premier League,23,1993,10.0,12,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
103,Orestis Karnezis,gr GRE,GK,Udinese,it Serie A,31,1985,32.9,45,7,,,,,,,,,,,,,,,,,,,,,,,,Matches
104,Eiji Kawashima,jp JPN,GK,Metz,fr Ligue 1,33,1983,5.0,6,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
105,Thomas Kessler,de GER,GK,Köln,de Bundesliga,30,1986,13.0,18,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
106,Alban Lafont,fr FRA,GK,Toulouse,fr Ligue 1,17,1999,36.0,41,8,,,,,,,,,,,,,,,,,,,,,,,,Matches
