Rk,Player,Nation,Pos,Squad,Age,Born,Playing_Time_MP,Playing_Time_Min,Playing_Time_Mn/MP,Playing_Time_Min%,Playing_Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team_Success_PPM,Team_Success_onG,Team_Success_onGA,Team_Success_+/-,Team_Success_+/-90,Team_Success_On-Off,Matches
631,Stijn Schaars,nl NED,MF,nl PSV Eindhoven,31,1984,1,18,18,2.4,0.2,0,,0,1,,7,3.00,0,0,0,0.00,-0.12,Matches
632,Marcel Schäfer,de GER,"DF,MF",de Wolfsburg,31,1984,5,175,35,19.4,1.9,1,,1,4,,5,3.00,4,2,+2,+1.03,+0.78,Matches
633,Morgan Schneiderlin,fr FRA,MF,eng Manchester Utd,25,1989,3,270,90,50.0,3.0,3,,3,0,,1,2.00,3,2,+1,+0.33,-1.33,Matches
634,Marvin Schulz,de GER,"DF,MF",de Gladbach,20,1995,2,35,18,6.5,0.4,0,,0,2,,3,1.50,1,5,-4,-10.29,-10.29,Matches
635,Nico Schulz,de GER,"DF,FW",de Gladbach,22,1993,1,17,17,3.1,0.2,0,,0,1,,1,0.00,0,1,-1,-5.29,-4.78,Matches
636,André Schürrle,de GER,"FW,MF",de Wolfsburg,24,1990,10,599,60,66.6,6.7,6,,2,4,,0,2.10,11,8,+3,+0.45,+0.15,Matches
637,Bastian Schweinsteiger,de GER,"DF,MF",eng Manchester Utd,30,1984,6,424,71,78.5,4.7,6,,1,0,,0,1.75,5,6,-1,-0.21,-5.64,Matches
638,Sebá,br BRA,"FW,MF",gr Olympiacos,23,1992,6,429,72,79.4,4.8,5,,2,1,,0,1.50,6,12,-6,-1.26,-0.45,Matches
639,Paul Seguin,de GER,"DF,MF",de Wolfsburg,20,1995,0,,,,,0,,0,0,,1,,,,,,,Matches
640,Matz Sels,be BEL,GK,be Gent,23,1992,8,720,90,100.0,8.0,8,,8,0,,0,1.25,10,11,-1,-0.12,,Matches
641,Nélson Semedo,pt POR,"DF,MF",pt Benfica,21,1993,3,270,90,30.0,3.0,3,,3,0,,3,3.00,6,2,+4,+1.33,+1.48,Matches
642,Ryu Seung-woo,kr KOR,"FW,MF",de Leverkusen,21,1993,0,,,,,0,,0,0,,1,,,,,,,Matches
643,Stephan El Shaarawy,it ITA,"DF,FW",it Roma,22,1992,2,138,69,19.2,1.5,2,,0,0,,0,0.00,0,3,-3,-1.96,-1.03,Matches
644,Oleg Shatov,ru RUS,"FW,MF",ru Zenit,25,1990,7,486,69,67.5,5.4,5,,2,2,,1,2.14,11,5,+6,+1.11,+1.50,Matches
645,Luke Shaw,eng ENG,"DF,MF",eng Manchester Utd,20,1995,1,24,24,4.4,0.3,1,,0,0,,0,2.00,0,0,0,0.00,-1.05,Matches
646,Georgi Shchennikov,ru RUS,"DF,MF",ru CSKA Moscow,24,1991,4,360,90,66.7,4.0,4,,4,0,,0,1.33,4,5,-1,-0.25,+0.25,Matches
647,Aleksey Shchetkin,kz KAZ,FW,kz FC Astana,24,1991,5,141,28,26.1,1.6,1,,0,4,,0,0.71,0,5,-5,-3.19,-3.64,Matches
648,Vyacheslav Shevchuk,ua UKR,DF,ua Shakhtar,36,1979,1,90,90,16.7,1.0,1,,1,0,,0,1.33,0,3,-3,-3.00,-3.00,Matches
649,Dmitriy Shomko,kz KAZ,DF,kz FC Astana,25,1990,5,450,90,83.3,5.0,5,,5,0,,0,1.36,5,7,-2,-0.40,+0.60,Matches
650,Oleksandr Shovkovskiy,ua UKR,GK,ua Dynamo Kyiv,40,1975,7,630,90,87.5,7.0,7,,7,0,,1,1.57,7,5,+2,+0.29,+0.29,Matches
651,Leonardo Sigali,ar ARG,DF,hr Dinamo Zagreb,28,1987,4,280,70,51.9,3.1,3,,3,1,,0,1.56,2,7,-5,-1.61,-1.95,Matches
652,Mikalay Signevich,by BLR,FW,by BATE Borisov,23,1992,3,259,86,48.0,2.9,3,,2,0,,0,1.38,4,8,-4,-1.39,-1.07,Matches
653,André Silva,pt POR,FW,pt Porto,19,1995,0,,,,,0,,0,0,,1,,,,,,,Matches
654,Danilo da Silva,br BRA,DF,ua Dynamo Kyiv,28,1986,6,516,86,71.7,5.7,6,,5,0,,1,1.83,8,4,+4,+0.70,+1.58,Matches
655,David Silva,es ESP,"FW,MF",eng Manchester City,29,1986,8,629,79,58.2,7.0,8,,3,0,,0,1.88,12,8,+4,+0.57,+0.17,Matches
656,Eduardo da Silva,hr CRO,FW,ua Shakhtar,32,1983,3,141,47,26.1,1.6,1,,0,2,,3,1.57,3,1,+2,+1.28,+2.40,Matches
657,Thiago Silva,br BRA,DF,fr Paris S-G,30,1984,9,810,90,90.0,9.0,9,,9,0,,0,1.89,16,6,+10,+1.11,-0.89,Matches
658,Sílvio,pt POR,DF,pt Benfica,27,1987,3,237,79,26.3,2.6,3,,1,0,,4,1.33,4,5,-1,-0.38,-0.92,Matches
659,Moses Simon,ng NGA,"FW,MF",be Gent,20,1995,5,293,59,40.7,3.3,4,,0,1,,3,0.80,3,5,-2,-0.61,-0.83,Matches
660,Dimitris Siovas,gr GRE,"DF,MF",gr Olympiacos,26,1988,6,540,90,100.0,6.0,6,,6,0,,0,1.50,6,13,-7,-1.17,,Matches
661,Tobias Sippel,de GER,GK,de Gladbach,27,1988,0,,,,,0,,0,0,,3,,,,,,,Matches
662,Guilherme Siqueira,br BRA,"DF,MF",es Atlético Madrid,29,1986,3,270,90,22.0,3.0,3,,3,0,,2,2.33,6,0,+6,+2.00,+1.72,Matches
663,Salvatore Sirigu,it ITA,GK,fr Paris S-G,28,1987,0,,,,,0,,0,0,,10,,,,,,,Matches
664,Maicon Sisenando,br BRA,DF,it Roma,34,1981,3,114,38,15.8,1.3,1,,1,2,,5,1.00,1,6,-5,-3.95,-3.35,Matches
665,Chris Smalling,eng ENG,DF,eng Manchester Utd,25,1989,6,540,90,100.0,6.0,6,,6,0,,0,1.75,7,7,0,0.00,,Matches
666,Igor Smolnikov,ru RUS,"DF,MF",ru Zenit,26,1988,5,273,55,37.9,3.0,3,,1,2,,0,2.40,6,4,+2,+0.66,+0.06,Matches
667,Wesley Sneijder,nl NED,MF,tr Galatasaray,31,1984,6,540,90,100.0,6.0,6,,6,0,,0,0.83,6,10,-4,-0.67,,Matches
668,Edoardo Soleri,it ITA,FW,it Roma,17,1997,1,1,1,0.1,0.0,0,,0,1,,0,0.00,0,0,0,0.00,+1.13,Matches
669,Yann Sommer,ch SUI,GK,de Gladbach,26,1988,6,540,90,100.0,6.0,6,,6,0,,0,0.83,8,12,-4,-0.67,,Matches
670,David Soria,es ESP,GK,es Sevilla,22,1993,0,,,,,0,,0,0,,6,,,,,,,Matches
671,Artem Soroko,by BLR,GK,by BATE Borisov,23,1992,0,,,,,0,,0,0,,6,,,,,,,Matches
672,Hillel Soudani,dz ALG,"FW,MF",hr Dinamo Zagreb,27,1987,5,393,79,72.8,4.4,4,,4,1,,0,1.36,2,10,-8,-1.83,-4.28,Matches
673,Damir Šovšić,ba BIH,MF,hr Dinamo Zagreb,25,1990,0,,,,,0,,0,0,,3,,,,,,,Matches
674,Yuval Spungin,il ISR,DF,il Maccabi Tel Aviv,28,1987,1,71,71,13.1,0.8,1,,0,0,,1,1.33,0,3,-3,-3.80,-2.27,Matches
675,Darijo Srna,hr CRO,"DF,MF",ua Shakhtar,33,1982,5,450,90,83.3,5.0,5,,5,0,,0,1.22,4,10,-6,-1.20,-4.20,Matches
676,Benjamin Stambouli,fr FRA,"DF,MF",fr Paris S-G,24,1990,2,111,56,12.3,1.2,1,,1,1,,5,3.00,3,0,+3,+2.43,+1.41,Matches
677,Tom Starke,de GER,GK,de Bayern Munich,34,1981,0,,,,,0,,0,0,,1,,,,,,,Matches
678,Ihar Stasevich,by BLR,"FW,MF",by BATE Borisov,29,1985,5,450,90,83.3,5.0,5,,5,0,,0,1.22,4,11,-7,-1.40,-3.40,Matches
679,Taras Stepanenko,ua UKR,MF,ua Shakhtar,25,1989,5,410,82,75.9,4.6,5,,4,0,,0,1.22,7,8,-1,-0.22,+1.17,Matches
680,Raheem Sterling,eng ENG,"FW,MF",eng Manchester City,20,1994,10,578,58,53.5,6.4,6,,3,4,,0,1.70,15,7,+8,+1.25,+1.60,Matches
681,Lars Stindl,de GER,"FW,MF",de Gladbach,26,1988,6,517,86,95.7,5.7,6,,5,0,,0,0.83,8,11,-3,-0.52,+3.39,Matches
682,Stefano Sturaro,it ITA,MF,it Juventus,22,1993,6,430,72,57.3,4.8,4,,3,2,,0,1.33,5,7,-2,-0.42,-1.26,Matches
683,Luis Suárez,uy URU,FW,es Barcelona,28,1987,9,810,90,90.0,9.0,9,,9,0,,1,2.44,21,7,+14,+1.56,+1.56,Matches
684,Serhiy Sydorchuk,ua UKR,MF,ua Dynamo Kyiv,24,1991,6,426,71,59.2,4.7,5,,3,1,,0,1.83,5,1,+4,+0.85,+1.46,Matches
685,Wojciech Szczęsny,pl POL,GK,it Roma,25,1990,8,680,85,94.4,7.6,8,,7,0,,0,0.75,11,20,-9,-1.19,-1.19,Matches
686,Adel Taarabt,ma MAR,"FW,MF",pt Benfica,26,1989,0,,,,,0,,0,0,,1,,,,,,,Matches
687,Jonathan Tah,de GER,DF,de Leverkusen,19,1996,6,540,90,100.0,6.0,6,,6,0,,0,1.13,13,12,+1,+0.17,,Matches
688,Taison,br BRA,"FW,MF",ua Shakhtar,27,1988,5,257,51,47.6,2.9,3,,0,2,,0,1.22,4,7,-3,-1.05,-1.05,Matches
689,Talisca,br BRA,"FW,MF",pt Benfica,21,1994,5,214,43,23.8,2.4,2,,0,3,,5,2.20,7,1,+6,+2.52,+2.92,Matches
690,Jérémy Taravel,fr FRA,DF,hr Dinamo Zagreb,28,1987,6,540,90,100.0,6.0,6,,6,0,,0,1.27,3,14,-11,-1.83,,Matches
691,Serdar Tasci,de GER,DF,de Bayern Munich,28,1987,0,,,,,0,,0,0,,2,,,,,,,Matches
692,Alex Teixeira,br BRA,"FW,MF",ua Shakhtar,25,1990,6,540,90,100.0,6.0,6,,6,0,,0,1.10,7,14,-7,-1.17,,Matches
693,Cristian Tello,es ESP,"FW,MF",pt Porto,23,1991,5,246,49,45.6,2.7,2,,1,3,,1,1.40,4,4,0,0.00,-0.31,Matches
694,Łukasz Teodorczyk,pl POL,FW,ua Dynamo Kyiv,24,1991,4,97,24,13.5,1.1,2,,0,2,,0,1.75,0,2,-2,-1.86,-2.43,Matches
695,Marc-André ter Stegen,de GER,GK,es Barcelona,23,1992,10,900,90,100.0,10.0,10,,10,0,,0,2.30,22,8,+14,+1.40,,Matches
696,John Terry,eng ENG,DF,eng Chelsea,34,1980,4,342,86,47.5,3.8,4,,3,0,,2,2.50,5,1,+4,+1.05,+0.10,Matches
697,Yannick Thoelen,be BEL,GK,be Gent,25,1990,0,,,,,0,,0,0,,1,,,,,,,Matches
698,Eitan Tibi,il ISR,DF,il Maccabi Tel Aviv,27,1987,5,450,90,83.3,5.0,5,,5,0,,1,0.56,1,12,-11,-2.20,-2.20,Matches
699,Anton Tinnerholm,se SWE,"DF,MF",se Malmö,24,1991,6,540,90,100.0,6.0,6,,6,0,,0,1.08,1,21,-20,-3.33,,Matches
700,Corentin Tolisso,fr FRA,"DF,MF",fr Lyon,20,1994,6,540,90,100.0,6.0,6,,6,0,,0,0.67,5,9,-4,-0.67,,Matches
701,Ömer Toprak,tr TUR,DF,de Leverkusen,26,1989,3,248,83,45.9,2.8,3,,1,0,,0,0.67,5,7,-2,-0.73,-2.27,Matches
702,Vasilis Torosidis,gr GRE,"DF,MF",it Roma,30,1985,4,153,38,21.3,1.7,1,,1,3,,2,1.25,7,4,+3,+1.76,+3.67,Matches
703,Fernando Torres,es ESP,FW,es Atlético Madrid,31,1984,12,675,56,54.9,7.5,6,,4,6,,0,1.67,7,4,+3,+0.40,-0.57,Matches
704,Óliver Torres,es ESP,"FW,MF",es Atlético Madrid,20,1994,7,251,36,20.4,2.8,2,,1,5,,0,2.00,3,3,0,0.00,-0.83,Matches
705,Zoran Tošić,rs SRB,"FW,MF",ru CSKA Moscow,28,1987,6,490,82,90.7,5.4,6,,3,0,,0,1.10,5,8,-3,-0.55,-2.35,Matches
706,Francesco Totti,it ITA,"FW,MF",it Roma,38,1976,2,19,10,2.6,0.2,0,,0,2,,1,0.00,0,0,0,0.00,+1.16,Matches
707,Yaya Touré,ci CIV,MF,eng Manchester City,32,1983,10,743,74,68.8,8.3,9,,7,1,,0,1.90,13,9,+4,+0.48,-0.05,Matches
708,Bertrand Traoré,bf BFA,"FW,MF",eng Chelsea,19,1995,2,43,22,6.0,0.5,0,,0,2,,2,1.50,1,1,0,0.00,-1.06,Matches
709,Ibrahima Traoré,gn GUI,MF,de Gladbach,27,1988,5,287,57,53.1,3.2,4,,2,1,,0,1.00,1,5,-4,-1.25,-1.25,Matches
710,Kevin Trapp,de GER,GK,fr Paris S-G,25,1990,10,900,90,100.0,10.0,10,,10,0,,0,2.00,18,6,+12,+1.20,,Matches
711,Christian Träsch,de GER,"DF,MF",de Wolfsburg,27,1987,8,627,78,69.7,7.0,7,,6,1,,2,2.63,13,6,+7,+1.00,+1.99,Matches
712,Benoît Trémoulinas,fr FRA,DF,es Sevilla,29,1985,6,540,90,100.0,6.0,6,,6,0,,0,1.00,8,11,-3,-0.50,,Matches
713,Tropi,es ESP,MF,es Valencia,20,1995,0,,,,,0,,0,0,,1,,,,,,,Matches
714,Konstantin Troyanov,ru RUS,MF,ru Zenit,19,1995,1,4,4,0.6,0.0,0,,0,1,,1,0.00,0,0,0,0.00,-0.63,Matches
715,Arda Turan,tr TUR,"FW,MF",es Barcelona,28,1987,3,46,15,5.1,0.5,0,,0,3,,0,2.00,1,1,0,0.00,-1.48,Matches
716,Patrick Twumasi,gh GHA,"FW,MF",kz FC Astana,21,1994,2,180,90,33.3,2.0,2,,1,0,,0,1.50,3,3,0,0.00,+0.75,Matches
717,Salih Uçan,tr TUR,MF,it Roma,21,1994,2,22,11,3.1,0.2,0,,0,2,,1,0.50,1,1,0,0.00,+1.16,Matches
718,Sven Ulreich,de GER,GK,de Bayern Munich,26,1988,1,90,90,8.1,1.0,1,,1,0,,11,3.00,2,0,+2,+2.00,+0.50,Matches
719,Samuel Umtiti,fr FRA,DF,fr Lyon,21,1993,4,360,90,66.7,4.0,4,,4,0,,0,0.25,2,7,-5,-1.25,-1.75,Matches
720,William Vainqueur,fr FRA,MF,it Roma,26,1988,4,192,48,26.7,2.1,2,,0,2,,4,0.00,1,8,-7,-3.28,-2.94,Matches
721,Alyaksandr Valadzko,by BLR,MF,by BATE Borisov,29,1986,5,299,60,55.4,3.3,3,,1,2,,0,0.67,1,8,-7,-2.11,-2.85,Matches
722,Maksim Valadzko,by BLR,"DF,MF",by BATE Borisov,22,1992,6,311,52,57.6,3.5,3,,0,3,,0,1.33,3,6,-3,-0.87,-0.08,Matches
723,Mathieu Valbuena,fr FRA,"FW,MF",fr Lyon,30,1984,5,450,90,83.3,5.0,5,,5,0,,0,0.20,3,9,-6,-1.20,-3.20,Matches
724,Antonio Valencia,ec ECU,"DF,MF",eng Manchester Utd,29,1985,3,140,47,25.9,1.6,2,,1,1,,0,1.33,2,2,0,0.00,-1.35,Matches
725,Hannes Van der Bruggen,be BEL,MF,be Gent,22,1993,0,,,,,0,,0,0,,3,,,,,,,Matches
726,Brian Vandenbussche,be BEL,GK,be Gent,33,1981,0,,,,,0,,0,0,,7,,,,,,,Matches
727,Raphaël Varane,fr FRA,"DF,MF",es Real Madrid,22,1993,7,438,63,36.5,4.9,6,,4,1,,3,2.71,7,0,+7,+1.44,-0.33,Matches
728,Guillermo Varela,uy URU,DF,eng Manchester Utd,22,1993,1,90,90,16.7,1.0,1,,1,0,,0,0.00,2,3,-1,-1.00,-2.40,Matches
729,Silvestre Varela,pt POR,"FW,MF",pt Porto,30,1985,1,14,14,2.6,0.2,0,,0,1,,1,3.00,0,0,0,0.00,-0.17,Matches
730,Viktor Vasin,ru RUS,DF,ru CSKA Moscow,26,1988,1,44,44,8.1,0.5,0,,0,1,,3,0.00,0,2,-2,-4.09,-4.09,Matches
731,Lucas Vázquez,es ESP,"DF,FW",es Real Madrid,24,1991,7,330,47,27.5,3.7,2,,2,5,,5,2.43,3,1,+2,+0.55,-1.52,Matches
732,Miguel Veloso,pt POR,MF,ua Dynamo Kyiv,29,1986,5,330,66,45.8,3.7,3,,1,2,,3,1.60,4,4,0,0.00,-0.46,Matches
733,Thomas Vermaelen,be BEL,DF,es Barcelona,29,1985,3,270,90,30.0,3.0,3,,3,0,,4,2.33,10,2,+8,+2.67,+1.81,Matches
734,Gil Vermouth,il ISR,MF,il Maccabi Tel Aviv,29,1985,4,160,40,29.6,1.8,2,,0,2,,2,0.43,0,3,-3,-1.69,+0.21,Matches
735,Marco Verratti,it ITA,MF,fr Paris S-G,22,1992,5,358,72,39.8,4.0,5,,2,0,,0,2.00,7,1,+6,+1.51,+0.51,Matches
736,Rúben Vezo,pt POR,DF,es Valencia,21,1994,1,80,80,14.8,0.9,1,,0,0,,2,1.00,0,2,-2,-2.25,-2.05,Matches
737,Domagoj Vida,hr CRO,"DF,MF",ua Dynamo Kyiv,26,1989,5,372,74,51.7,4.1,4,,4,1,,2,1.00,2,5,-3,-0.73,-2.02,Matches
738,Aleix Vidal,es ESP,"DF,MF",es Barcelona,25,1989,0,,,,,0,,0,0,,2,,,,,,,Matches
739,Arturo Vidal,cl CHI,MF,de Bayern Munich,28,1987,11,857,78,77.2,9.5,9,,7,2,,0,2.09,18,8,+10,+1.05,-2.15,Matches
740,Vieirinha,pt POR,"DF,FW",de Wolfsburg,29,1986,8,477,60,53.0,5.3,5,,3,3,,0,2.25,9,6,+3,+0.57,+0.35,Matches
741,Luciano Vietto,ar ARG,"FW,MF",es Atlético Madrid,21,1993,5,227,45,18.5,2.5,3,,0,2,,5,2.00,4,0,+4,+1.59,+1.14,Matches
742,Andreas Vindheim,no NOR,DF,se Malmö,19,1995,0,,,,,0,,0,0,,5,,,,,,,Matches
743,Mattia Vitale,it ITA,MF,it Juventus,17,1997,0,,,,,0,,0,0,,2,,,,,,,Matches
744,Uroš Vitas,rs SRB,DF,be Gent,23,1992,0,,,,,0,,0,0,,4,,,,,,,Matches
745,Vitolo,es ESP,"FW,MF",es Sevilla,25,1989,5,450,90,83.3,5.0,5,,5,0,,0,1.20,8,9,-1,-0.20,+1.80,Matches
746,Rai Vloet,nl NED,"FW,MF",nl PSV Eindhoven,20,1995,1,1,1,0.1,0.0,0,,0,1,,2,0.00,0,0,0,0.00,-0.12,Matches
747,Praxitelis Vouros,gr GRE,DF,gr Olympiacos,20,1995,1,3,3,0.6,0.0,0,,0,1,,1,3.00,0,0,0,0.00,+1.17,Matches
748,Theo Walcott,eng ENG,"FW,MF",eng Arsenal,26,1989,6,318,53,44.2,3.5,3,,1,3,,0,1.00,6,6,0,0.00,+0.45,Matches
749,Danny Welbeck,eng ENG,"FW,MF",eng Arsenal,24,1990,2,91,46,12.6,1.0,1,,0,1,,0,0.00,1,3,-2,-1.98,-1.98,Matches
750,Wendell,br BRA,DF,de Leverkusen,22,1993,6,540,90,100.0,6.0,6,,6,0,,0,1.13,13,12,+1,+0.17,,Matches
751,Oscar Wendt,se SWE,"DF,MF",de Gladbach,29,1985,6,534,89,98.9,5.9,6,,5,0,,0,0.83,8,11,-3,-0.51,+14.49,Matches
752,Pontus Wernbloom,se SWE,"FW,MF",ru CSKA Moscow,29,1986,6,540,90,100.0,6.0,6,,6,0,,0,1.10,5,9,-4,-0.67,,Matches
753,Jordy de Wijs,nl NED,DF,nl PSV Eindhoven,20,1995,1,16,16,2.1,0.2,0,,0,1,,4,0.00,0,0,0,0.00,-0.12,Matches
754,Gustav Wikheim,no NOR,"FW,MF",be Gent,22,1993,0,,,,,0,,0,0,,1,,,,,,,Matches
755,Johan Wiland,se SWE,GK,se Malmö,34,1981,6,540,90,100.0,6.0,6,,6,0,,0,0.90,1,21,-20,-3.33,,Matches
756,Jetro Willems,nl NED,"DF,MF",nl PSV Eindhoven,21,1994,2,165,83,22.0,1.8,2,,1,0,,0,0.50,0,0,0,0.00,-0.15,Matches
757,Willian,br BRA,"FW,MF",eng Chelsea,26,1988,8,642,80,89.2,7.1,8,,5,0,,0,1.63,11,7,+4,+0.56,-4.05,Matches
758,James Wilson,eng ENG,"FW,MF",eng Manchester Utd,19,1995,0,,,,,0,,0,0,,2,,,,,,,Matches
759,Axel Witsel,be BEL,"DF,MF",ru Zenit,26,1989,7,630,90,87.5,7.0,7,,7,0,,0,2.14,13,7,+6,+0.86,+1.86,Matches
760,Magnus Wolff Eikrem,no NOR,"FW,MF",se Malmö,24,1990,3,69,23,12.8,0.8,0,,0,3,,3,0.57,0,3,-3,-3.91,-1.24,Matches
761,Granit Xhaka,ch SUI,MF,de Gladbach,22,1992,5,450,90,83.3,5.0,5,,5,0,,0,1.00,8,9,-1,-0.20,+2.80,Matches
762,Evgeni Yablonski,by BLR,MF,by BATE Borisov,20,1995,5,385,77,71.3,4.3,4,,4,1,,0,1.75,4,6,-2,-0.47,+1.27,Matches
763,Oleksandr Yakovenko,ua UKR,"FW,MF",ua Dynamo Kyiv,28,1987,1,28,28,3.9,0.3,0,,0,1,,0,1.00,0,0,0,0.00,-0.26,Matches
764,Rubén Yáñez,es ESP,GK,es Real Madrid,21,1993,0,,,,,0,,0,0,,1,,,,,,,Matches
765,Mapou Yanga-Mbiwa,fr FRA,DF,fr Lyon,26,1989,5,450,90,83.3,5.0,5,,5,0,,0,0.80,5,8,-3,-0.60,+0.40,Matches
766,Andriy Yarmolenko,ua UKR,"FW,MF",ua Dynamo Kyiv,25,1989,7,558,80,77.5,6.2,7,,6,0,,0,1.57,7,5,+2,+0.32,+0.32,Matches
767,David Yelldell,us USA,GK,de Leverkusen,33,1981,0,,,,,0,,0,0,,1,,,,,,,Matches
768,Alexey Yevseyev,ru RUS,MF,ru Zenit,21,1994,1,4,4,0.6,0.0,0,,0,1,,3,3.00,0,0,0,0.00,-0.63,Matches
769,Burak Yılmaz,tr TUR,FW,tr Galatasaray,30,1985,4,266,67,49.3,3.0,3,,2,1,,0,1.00,2,5,-3,-1.02,-0.69,Matches
770,Barak Yitzhaki,il ISR,FW,il Maccabi Tel Aviv,30,1984,4,43,11,8.0,0.5,0,,0,4,,1,0.78,0,1,-1,-2.09,-0.28,Matches
771,Yoel,es ESP,GK,es Valencia,26,1988,0,,,,,0,,0,0,,4,,,,,,,Matches
772,Shlomi Yosef Azulay,il ISR,MF,il Maccabi Tel Aviv,25,1990,0,,,,,0,,0,0,,2,,,,,,,Matches
773,Yoshimar Yotún,pe PER,"DF,MF",se Malmö,25,1990,4,302,76,55.9,3.4,3,,2,1,,1,1.00,0,14,-14,-4.17,-3.04,Matches
774,Ashley Young,eng ENG,"DF,FW",eng Manchester Utd,30,1985,4,251,63,46.5,2.8,2,,1,2,,1,2.00,3,2,+1,+0.36,-1.20,Matches
775,Vladlen Yurchenko,ua UKR,MF,de Leverkusen,21,1994,2,12,6,2.2,0.1,0,,0,2,,1,1.00,2,0,+2,+15.00,+14.83,Matches
776,Pablo Zabaleta,ar ARG,"DF,MF",eng Manchester City,30,1985,3,150,50,13.9,1.7,2,,1,1,,4,2.33,1,1,0,0.00,-0.58,Matches
777,Eran Zahavi,il ISR,"FW,MF",il Maccabi Tel Aviv,28,1987,6,539,90,99.8,6.0,6,,5,0,,0,0.73,1,15,-14,-2.34,-272.34,Matches
778,Simone Zaza,it ITA,FW,it Juventus,24,1991,2,30,15,4.0,0.3,0,,0,2,,5,2.00,1,0,+1,+3.00,+3.00,Matches
779,Maksim Zhavnerchik,by BLR,"DF,MF",by BATE Borisov,30,1985,2,180,90,33.3,2.0,2,,2,0,,0,1.63,1,1,0,0.00,+1.25,Matches
780,Yuri Zhirkov,ru RUS,"DF,MF",ru Zenit,31,1983,2,99,50,13.8,1.1,1,,1,1,,0,0.00,1,3,-2,-1.82,-2.83,Matches
781,Georgy Zhukov,kz KAZ,MF,kz FC Astana,20,1994,6,260,43,48.1,2.9,3,,1,3,,0,1.25,2,7,-5,-1.73,-2.37,Matches
782,Yoav Ziv,il ISR,DF,il Maccabi Tel Aviv,34,1981,0,,,,,0,,0,0,,2,,,,,,,Matches
783,Jeroen Zoet,nl NED,GK,nl PSV Eindhoven,24,1991,8,750,94,100.0,8.3,8,,8,0,,0,1.38,8,7,+1,+0.12,,Matches
784,Kurt Zouma,fr FRA,DF,eng Chelsea,20,1994,6,468,78,65.0,5.2,5,,5,1,,0,2.17,12,3,+9,+1.73,+2.09,Matches
785,Ervin Zukanović,ba BIH,DF,it Roma,28,1987,1,90,90,12.5,1.0,1,,1,0,,0,0.00,0,2,-2,-2.00,-1.00,Matches
786,Ilya Zuyev,ru RUS,DF,ru Zenit,21,1994,0,,,,,0,,0,0,,3,,,,,,,Matches
787,Nikola Đurđić,rs SRB,"FW,MF",se Malmö,29,1986,6,449,75,83.1,5.0,6,,1,0,,0,0.90,1,14,-13,-2.61,+1.35,Matches
788,Birzhan Kulbekov,,,kz FC Astana,,,1,10,10,1.9,0.1,0,,,1,,0,,,,,,,Matches
789,Hern Hern,,,gr Olympiacos,,,5,146,29,27.0,1.6,1,,,4,,0,,,,,,,Matches
790,Igor Pikalkin,,,kz FC Astana,,,1,26,26,4.8,0.3,0,,,1,,0,,,,,,,Matches
791,Jardel Jardel,,,pt Benfica,,,9,810,90,90.0,9.0,9,,,0,,0,,,,,,,Matches
792,Sandro Ramírez,,,es Barcelona,,,3,173,58,19.2,1.9,2,,,1,,0,,,,,,,Matches
