Rk,Player,Nation,Pos,Squad,Age,Born,Playing_Time_MP,Playing_Time_Starts,Playing_Time_Min,Playing_Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty_Kicks_PKatt,Penalty_Kicks_PKA,Penalty_Kicks_PKsv,Penalty_Kicks_PKm,Penalty_Kicks_Save%,Matches
1,Adrián,es ESP,GK,eng Liverpool,33,1987,1,1,90,1.0,0,0.00,4,4,100.0,1,0,0,1,100.0,0,0,0,0,,Matches
2,Alisson,br BRA,GK,eng Liverpool,27,1992,7,7,630,7.0,5,0.71,24,19,79.2,4,1,2,5,71.4,0,0,0,0,,Matches
3,Mikkel Andersen,dk DEN,GK,dk Midtjylland,31,1988,2,2,180,2.0,4,2.00,6,2,50.0,0,0,2,0,0.0,1,1,0,0,0.0,Matches
4,Kepa Arrizabalaga,es ESP,GK,eng Chelsea,25,1994,1,1,90,1.0,1,1.00,2,1,50.0,0,1,0,0,0.0,0,0,0,0,,Matches
5,Yassine Bounou,ma MAR,GK,es Sevilla,29,1991,5,5,450,5.0,6,1.20,22,16,81.8,2,2,1,2,40.0,2,2,0,0,0.0,Matches
6,Denys Boyko,ua UKR,GK,ua Dynamo Kyiv,32,1988,1,1,90,1.0,2,2.00,4,2,50.0,0,1,0,0,0.0,0,0,0,0,,Matches
7,Gianluigi Buffon,it ITA,GK,it Juventus,42,1978,1,1,90,1.0,0,0.00,7,7,100.0,1,0,0,1,100.0,0,0,0,0,,Matches
8,Roman Bürki,ch SUI,GK,de Dortmund,29,1990,4,4,360,4.0,1,0.25,10,9,100.0,3,1,0,3,75.0,1,1,0,0,0.0,Matches
9,Heorhiy Bushchan,ua UKR,GK,ua Dynamo Kyiv,26,1994,4,4,360,4.0,9,2.25,22,13,63.6,1,0,3,1,25.0,1,1,0,0,0.0,Matches
10,Diogo Costa,pt POR,GK,pt Porto,20,1999,1,1,90,1.0,0,0.00,1,1,100.0,1,0,0,1,100.0,0,0,0,0,,Matches
11,Thibaut Courtois,be BEL,GK,es Real Madrid,28,1992,12,12,1080,12.0,14,1.17,39,26,64.1,6,3,3,4,33.3,0,0,0,0,,Matches
12,Dénes Dibusz,hu HUN,GK,hu Ferencváros,29,1990,6,6,540,6.0,17,2.83,36,20,61.1,0,1,5,0,0.0,3,3,0,0,0.0,Matches
13,Ederson,br BRA,GK,eng Manchester City,26,1993,12,12,1080,12.0,5,0.42,22,17,77.3,10,1,1,7,58.3,0,0,0,0,,Matches
14,David de Gea,es ESP,GK,eng Manchester Utd,29,1990,5,5,450,5.0,8,1.60,21,14,61.9,3,0,2,1,20.0,0,0,0,0,,Matches
15,Pierluigi Gollini,it ITA,GK,it Atalanta,25,1995,3,3,270,3.0,1,0.33,6,5,83.3,2,0,1,2,66.7,0,0,0,0,,Matches
16,Alfred Gomis,sn SEN,GK,fr Rennes,26,1993,4,4,360,4.0,7,1.75,21,14,76.2,0,1,3,0,0.0,2,2,0,0,0.0,Matches
17,Yevgeni Gorodov,ru RUS,GK,ru Krasnodar,34,1985,2,2,180,2.0,3,1.50,13,10,84.6,0,1,1,0,0.0,1,1,0,0,0.0,Matches
18,Péter Gulácsi,hu HUN,GK,de RB Leipzig,30,1990,8,8,720,8.0,16,2.00,37,21,64.9,4,0,4,1,12.5,4,3,1,0,25.0,Matches
19,Mert Günok,tr TUR,GK,tr Başakşehir,31,1989,6,6,540,6.0,18,3.00,36,18,55.6,1,0,5,0,0.0,2,2,0,0,0.0,Matches
20,Samir Handanović,si SVN,GK,it Inter,36,1984,6,6,540,6.0,9,1.50,23,15,69.6,1,3,2,2,33.3,2,2,0,0,0.0,Matches
21,Jesper Hansen,dk DEN,GK,dk Midtjylland,35,1985,4,4,360,4.0,9,2.25,30,21,70.0,0,2,2,0,0.0,0,0,0,0,,Matches
22,Dean Henderson,eng ENG,GK,eng Manchester Utd,23,1997,1,1,90,1.0,2,2.00,3,1,33.3,0,0,1,0,0.0,0,0,0,0,,Matches
23,Marwin Hitz,ch SUI,GK,de Dortmund,32,1987,6,6,540,6.0,12,2.00,30,19,66.7,2,1,3,0,0.0,2,2,0,0,0.0,Matches
24,Ethan Horvath,us USA,GK,be Club Brugge,25,1995,1,1,90,1.0,1,1.00,3,3,66.7,1,0,0,0,0.0,0,0,0,0,,Matches
25,Caoimhín Kelleher,ie IRL,GK,eng Liverpool,21,1998,2,2,180,2.0,1,0.50,10,9,100.0,1,1,0,1,50.0,1,1,0,0,0.0,Matches
26,Mikhail Kerzhakov,ru RUS,GK,ru Zenit,33,1987,6,6,540,6.0,13,2.17,28,15,64.3,0,1,5,0,0.0,3,3,0,0,0.0,Matches
27,Steve Mandanda,fr FRA,GK,fr Marseille,35,1985,6,6,540,6.0,13,2.17,25,13,56.0,1,0,5,0,0.0,2,2,0,0,0.0,Matches
28,Agustín Marchesín,ar ARG,GK,pt Porto,32,1988,9,9,840,9.3,9,0.96,38,29,78.9,5,1,3,5,55.6,2,1,0,1,0.0,Matches
29,Guilherme Marinato,ru RUS,GK,ru Loko Moscow,34,1985,6,6,540,6.0,10,1.67,35,25,71.4,0,3,3,1,16.7,0,0,0,0,,Matches
30,Edouard Mendy,sn SEN,GK,eng Chelsea,28,1992,12,12,1080,12.0,3,0.25,34,31,91.2,9,2,1,9,75.0,0,0,0,0,,Matches
31,Simon Mignolet,be BEL,GK,be Club Brugge,32,1988,5,5,450,5.0,9,1.80,25,16,68.0,1,2,2,1,20.0,1,1,0,0,0.0,Matches
32,Keylor Navas,cr CRC,GK,fr Paris S-G,33,1986,12,12,1080,12.0,15,1.25,69,53,82.6,6,1,5,2,16.7,3,3,0,0,0.0,Matches
33,Ruslan Neshcheret,ua UKR,GK,ua Dynamo Kyiv,18,2002,1,1,90,1.0,2,2.00,14,12,92.9,0,0,1,0,0.0,1,1,0,0,0.0,Matches
34,Neto,br BRA,GK,es Barcelona,31,1989,3,3,270,3.0,1,0.33,4,3,100.0,3,0,0,2,66.7,1,1,0,0,0.0,Matches
35,Manuel Neuer,de GER,GK,de Bayern Munich,34,1986,8,8,720,8.0,8,1.00,43,35,81.4,7,0,1,3,37.5,0,0,0,0,,Matches
36,Alexander Nübel,de GER,GK,de Bayern Munich,23,1996,2,2,180,2.0,2,1.00,5,3,60.0,1,1,0,0,0.0,0,0,0,0,,Matches
37,Jan Oblak,si SVN,GK,es Atlético Madrid,27,1993,8,8,720,8.0,11,1.37,24,14,62.5,2,3,3,2,25.0,2,2,0,0,0.0,Matches
38,André Onana,cm CMR,GK,nl Ajax,24,1996,6,6,540,6.0,7,1.17,28,22,78.6,2,1,3,0,0.0,1,1,0,0,0.0,Matches
39,Alfonso Pastor,es ESP,GK,es Sevilla,19,2000,1,1,90,1.0,4,4.00,6,2,50.0,0,0,1,0,0.0,1,1,0,0,0.0,Matches
40,Andriy Pyatov,ua UKR,GK,ua Shakhtar,36,1984,1,1,90,1.0,4,4.00,6,2,50.0,0,0,1,0,0.0,1,1,0,0,0.0,Matches
41,Pepe Reina,es ESP,GK,it Lazio,37,1982,7,7,630,7.0,12,1.71,28,17,64.3,1,4,2,0,0.0,2,2,0,0,0.0,Matches
42,José Sá,pt POR,GK,gr Olympiacos,27,1993,6,6,540,6.0,10,1.67,34,24,79.4,1,0,5,1,16.7,3,3,0,0,0.0,Matches
43,Matvei Safonov,ru RUS,GK,ru Krasnodar,21,1999,4,4,360,4.0,8,2.00,30,22,80.0,1,1,2,1,25.0,3,2,0,1,0.0,Matches
44,Romain Salin,fr FRA,GK,fr Rennes,36,1984,2,2,180,2.0,4,2.00,8,4,50.0,0,0,2,0,0.0,0,0,0,0,,Matches
45,Yann Sommer,ch SUI,GK,de Gladbach,31,1988,8,8,720,8.0,13,1.62,35,22,62.9,2,2,4,2,25.0,0,0,0,0,,Matches
46,Marco Sportiello,it ITA,GK,it Atalanta,28,1992,5,5,450,5.0,11,2.20,32,21,71.9,1,2,2,1,20.0,2,2,0,0,0.0,Matches
47,Cican Stankovic,at AUT,GK,at RB Salzburg,27,1992,6,6,540,6.0,17,2.83,32,16,53.1,1,1,4,0,0.0,2,2,0,0,0.0,Matches
48,Zack Steffen,us USA,GK,eng Manchester City,25,1995,1,1,90,1.0,0,0.00,2,2,100.0,1,0,0,1,100.0,0,0,0,0,,Matches
49,Thomas Strakosha,al ALB,GK,it Lazio,25,1995,1,1,90,1.0,1,1.00,7,6,85.7,1,0,0,0,0.0,0,0,0,0,,Matches
50,Wojciech Szczęsny,pl POL,GK,it Juventus,30,1990,7,7,660,7.3,8,1.09,28,20,78.6,5,0,2,2,28.6,2,2,0,0,0.0,Matches
51,Marc-André ter Stegen,de GER,GK,es Barcelona,28,1992,5,5,450,5.0,9,1.80,25,16,76.0,2,1,2,1,20.0,3,3,0,0,0.0,Matches
52,Anatolii Trubin,ua UKR,GK,ua Shakhtar,18,2001,5,5,450,5.0,8,1.60,31,24,74.2,2,2,1,3,60.0,0,0,0,0,,Matches
53,Tomáš Vaclík,cz CZE,GK,es Sevilla,31,1989,2,2,180,2.0,3,1.50,6,3,66.7,2,0,0,0,0.0,1,1,0,0,0.0,Matches
